epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.1527,1.54271,3.31701,1.87162,0.9177,0.44872,0.54755,0.41233,0.63345,3.46009,1.30758,7.145e-05,7.145e-05,7.145e-05
2,163.111,1.09355,1.94831,1.55956,0.81139,0.14103,0.18012,0.13334,0.75516,6.2856,1.39574,0.000154078,0.000154078,0.000154078
3,235.382,0.98525,1.57909,1.47507,0.81549,0.9727,0.93737,0.69823,0.72002,2.29047,1.3936,0.00023331,0.00023331,0.00023331
4,309.005,0.97278,1.43371,1.41254,0.8281,0.39744,0.69443,0.42438,0.81303,3.35659,1.45633,0.000309147,0.000309147,0.000309147
5,382.007,1.02854,1.45423,1.48314,0.76522,0.46347,0.47672,0.31284,0.8449,4.68726,1.63362,0.000381589,0.000381589,0.000381589
6,454.007,0.99825,1.22882,1.43668,0.88832,0.47436,0.50613,0.31594,0.85023,3.47017,1.55295,0.000450635,0.000450635,0.000450635
7,525.893,1.03473,1.22825,1.49995,0.65682,0.73718,0.74003,0.5152,0.98125,2.25489,1.77626,0.000516286,0.000516286,0.000516286
8,597.97,1.02613,1.16316,1.41443,0.83524,0.89744,0.88863,0.46281,1.20252,2.4366,1.63455,0.000578542,0.000578542,0.000578542
9,669.83,1.05794,1.21051,1.50464,0.64949,0.90532,0.85012,0.45924,1.28154,3.85558,1.88194,0.000637403,0.000637403,0.000637403
10,741.579,1.07063,1.22666,1.45256,0.92311,0.35897,0.57642,0.31868,1.12721,2.39717,1.8973,0.000692868,0.000692868,0.000692868
11,811.751,1.02642,1.03123,1.45182,0.86079,0.42308,0.67521,0.38449,0.92036,3.3984,1.6391,0.000744938,0.000744938,0.000744938
12,881.72,1.06495,1.14698,1.4983,0.66123,0.63786,0.76401,0.41298,0.85071,2.83806,1.60273,0.000793612,0.000793612,0.000793612
13,951.168,1.07007,1.22682,1.49807,0.65579,0.6859,0.76105,0.46231,0.91607,5.89104,1.59922,0.000838892,0.000838892,0.000838892
14,1021.23,1.01216,1.10877,1.45562,0.30219,0.29487,0.38656,0.23925,1.03409,3.43011,1.91182,0.000880776,0.000880776,0.000880776
15,1090.97,1.09051,1.11008,1.53318,0.83329,0.30757,0.38984,0.22676,1.18137,3.39767,2.15946,0.000919264,0.000919264,0.000919264
16,1161.56,1.05821,0.99928,1.47287,0.89509,0.33807,0.41803,0.24425,1.43675,1.96266,2.95445,0.000954358,0.000954358,0.000954358
17,1234.74,1.03617,1.01992,1.41135,0.3444,0.63462,0.45041,0.29579,1.38713,1.79303,2.80312,0.000976293,0.000976293,0.000976293
18,1307.15,1.0769,1.02482,1.46006,0.77145,0.69872,0.6974,0.48325,1.1418,1.19596,1.91509,0.000947999,0.000947999,0.000947999
19,1377.61,1.01856,0.99717,1.40906,0.47473,0.69872,0.69568,0.49429,1.02348,1.25474,1.74552,0.000919704,0.000919704,0.000919704
